Label,Name,Type
TA0043,Reconnaissance,Tactic
T1595,Active Scanning,Technique
T1595.001,Scanning IP Blocks,Subtechnique
T1595.002,Vulnerability Scanning,Subtechnique
T1595.003,Wordlist Scanning,Subtechnique
T1592,Gather Victim Host Information,Technique
T1592.001,Hardware,Subtechnique
T1592.002,Software,Subtechnique
T1592.003,Firmware,Subtechnique
T1592.004,Client Configurations,Subtechnique
T1589,Gather Victim Identity Information,Technique
T1589.001,Credentials,Subtechnique
T1589.002,Email Addresses,Subtechnique
T1589.003,Employee Names,Subtechnique
T1590,Gather Victim Network Information,Technique
T1590.001,Domain Properties,Subtechnique
T1590.002,DNS,Subtechnique
T1590.003,Network Trust Dependencies,Subtechnique
T1590.004,Network Topology,Subtechnique
T1590.005,IP Addresses,Subtechnique
T1590.006,Network Security Appliances,Subtechnique
T1591,Gather Victim Org Information,Technique
T1591.001,Determine Physical Locations,Subtechnique
T1591.002,Business Relationships,Subtechnique
T1591.003,Identify Business Tempo,Subtechnique
T1591.004,Identify Roles,Subtechnique
T1598,Phishing for Information,Technique
T1598.001,Spearphishing Service,Subtechnique
T1598.002,Spearphishing Attachment,Subtechnique
T1598.003,Spearphishing Link,Subtechnique
T1597,Search Closed Sources,Technique
T1597.001,Threat Intel Vendors,Subtechnique
T1597.002,Purchase Technical Data,Subtechnique
T1596,Search Open Technical Databases,Technique
T1596.001,DNS/Passive DNS,Subtechnique
T1596.002,WHOIS,Subtechnique
T1596.003,Digital Certificates,Subtechnique
T1596.004,CDNs,Subtechnique
T1596.005,Scan Databases,Subtechnique
T1593,Search Open Websites/Domains,Technique
T1593.001,Social Media,Subtechnique
T1593.002,Search Engines,Subtechnique
T1594,Search Victim-Owned Websites,Technique
TA0042,Resource Development,Tactic
T1583,Acquire Infrastructure,Technique
T1583.001,Domains,Subtechnique
T1583.002,DNS Server,Subtechnique
T1583.003,Virtual Private Server,Subtechnique
T1583.004,Server,Subtechnique
T1583.005,Botnet,Subtechnique
T1583.006,Web Services,Subtechnique
T1586,Compromise Accounts,Technique
T1586.001,Social Media Accounts,Subtechnique
T1586.002,Email Accounts,Subtechnique
T1584,Compromise Infrastructure,Technique
T1584.001,Domains,Subtechnique
T1584.002,DNS Server,Subtechnique
T1584.003,Virtual Private Server,Subtechnique
T1584.004,Server,Subtechnique
T1584.005,Botnet,Subtechnique
T1584.006,Web Services,Subtechnique
T1587,Develop Capabilities,Technique
T1587.001,Malware,Subtechnique
T1587.002,Code Signing Certificates,Subtechnique
T1587.003,Digital Certificates,Subtechnique
T1587.004,Exploits,Subtechnique
T1585,Establish Accounts,Technique
T1585.001,Social Media Accounts,Subtechnique
T1585.002,Email Accounts,Subtechnique
T1588,Obtain Capabilities,Technique
T1588.001,Malware,Subtechnique
T1588.002,Tool,Subtechnique
T1588.003,Code Signing Certificates,Subtechnique
T1588.004,Digital Certificates,Subtechnique
T1588.005,Exploits,Subtechnique
T1588.006,Vulnerabilities,Subtechnique
T1608,Stage Capabilities,Technique
T1608.001,Upload Malware,Subtechnique
T1608.002,Upload Tool,Subtechnique
T1608.003,Install Digital Certificate,Subtechnique
T1608.004,Drive-by Target,Subtechnique
T1608.005,Link Target,Subtechnique
TA0001,Initial Access,Tactic
T1189,Drive-by Compromise,Technique
T1190,Exploit Public-Facing Application,Technique
T1133,External Remote Services,Technique
T1200,Hardware Additions,Technique
T1566,Phishing,Technique
T1566.001,Spearphishing Attachment,Subtechnique
T1566.002,Spearphishing Link,Subtechnique
T1566.003,Spearphishing via Service,Subtechnique
T1091,Replication Through Removable Media,Technique
T1195,Supply Chain Compromise,Technique
T1195.001,Compromise Software Dependencies and Development Tools,Subtechnique
T1195.002,Compromise Software Supply Chain,Subtechnique
T1195.003,Compromise Hardware Supply Chain,Subtechnique
T1199,Trusted Relationship,Technique
T1078,Valid Accounts,Technique
T1078.001,Default Accounts,Subtechnique
T1078.002,Domain Accounts,Subtechnique
T1078.003,Local Accounts,Subtechnique
T1078.004,Cloud Accounts,Subtechnique
TA0002,Execution,Tactic
T1059,Command and Scripting Interpreter,Technique
T1059.001,PowerShell,Subtechnique
T1059.002,AppleScript,Subtechnique
T1059.003,Windows Command Shell,Subtechnique
T1059.004,Unix Shell,Subtechnique
T1059.005,Visual Basic,Subtechnique
T1059.006,Python,Subtechnique
T1059.007,JavaScript,Subtechnique
T1059.008,Network Device CLI,Subtechnique
T1609,Container Administration Command,Technique
T1610,Deploy Container,Technique
T1203,Exploitation for Client Execution,Technique
T1559,Inter-Process Communication,Technique
T1559.001,Component Object Model,Subtechnique
T1559.002,Dynamic Data Exchange,Subtechnique
T1559.003,XPC Services,Subtechnique
T1106,Native API,Technique
T1053,Scheduled Task/Job,Technique
T1053.002,At,Subtechnique
T1053.003,Cron,Subtechnique
T1053.005,Scheduled Task,Subtechnique
T1053.006,Systemd Timers,Subtechnique
T1053.007,Container Orchestration Job,Subtechnique
T1129,Shared Modules,Technique
T1072,Software Deployment Tools,Technique
T1569,System Services,Technique
T1569.001,Launchctl,Subtechnique
T1569.002,Service Execution,Subtechnique
T1204,User Execution,Technique
T1204.001,Malicious Link,Subtechnique
T1204.002,Malicious File,Subtechnique
T1204.003,Malicious Image,Subtechnique
T1047,Windows Management Instrumentation,Technique
TA0003,Persistence,Tactic
T1098,Account Manipulation,Technique
T1098.001,Additional Cloud Credentials,Subtechnique
T1098.002,Additional Email Delegate Permissions,Subtechnique
T1098.003,Additional Cloud Roles,Subtechnique
T1098.004,SSH Authorized Keys,Subtechnique
T1098.005,Device Registration,Subtechnique
T1197,BITS Jobs,Technique
T1547,Boot or Logon Autostart Execution,Technique
T1547.001,Registry Run Keys / Startup Folder,Subtechnique
T1547.002,Authentication Package,Subtechnique
T1547.003,Time Providers,Subtechnique
